"id","street","city","buildingNumber"
"1","al. Misiak 24125","Jutrosin","9"
"2","ul. Lipiński 3128","Chojnice","50"
"3","ul. Michalczyk 282","Prószków","77"
"4","al. Sroka 317","Gołańcz","81"
"5","al. Stanisławski 277","Sławno","22"
"6","al. Ciszewski 434","Lębork","86"
"7","al. Kamiński 315","Wysokie Mazowieckie","44"
"8","al. Jędrzejczyk 12749","Olesno","71"
"9","al. Pietrzyk 84822","Nowy Dwór Mazowiecki","0"
"10","ul. Muszyński 7395","Uniejów","44"
"11","al. Wiącek 979","Międzyrzec Podlaski","25"
"12","al. Piwowarczyk 371","Gryfino","31"
"13","al. Jagielski 4436","Milicz","10"
"14","ul. Mika 1075","Tuchów","27"
"15","ul. Mielczarek 1811","Wronki","25"
"16","ul. Wróbel 562","Trzcińsko-Zdrój","62"
"17","al. Żuk 072","Jasło","7"
"18","al. Polak 85746","Trzebnica","0"
"19","ul. Sokół 84252","Przasnysz","85"
"20","ul. Ptak 02050","Kamień Pomorski","3"
"21","ul. Piłat 9433","Drzewica","70"
"22","al. Janiak 8494","Białobrzegi","49"
"23","al. Puchalski 7505","Gryfice","30"
"24","al. Twardowski 671","Krosno Odrzańskie","74"
"25","al. Ślusarczyk 7659","Ostrów Mazowiecka","96"
"26","al. Gałka 51722","Przysucha","47"
"27","al. Adamczak 240","Głogówek","23"
"28","ul. Stefaniak 917","Tczew","66"
"29","ul. Sikorski 6438","Zgorzelec","78"
"30","ul. Gajewski 5858","Gniewkowo","52"
"31","al. Kula 45511","Łobżenica","53"
"32","al. Wilczyński 002","Chorzele","3"
"33","ul. Drabik 107","Ciężkowice","83"
"34","ul. Jakubiak 12786","Ryglice","78"
"35","ul. Stawicki 87425","Bojanowo","51"
"36","ul. Kaleta 758","Przemyśl","32"
"37","al. Florczak 1493","Tuczno","25"
"38","al. Pietras 693","Frampol","72"
"39","al. Kogut 94452","Prószków","37"
"40","ul. Sołtys 02538","Krynki","25"
"41","ul. Adamiak 23480","Chodecz","65"
"42","ul. Musiał 7099","Polanów","8"
"43","ul. Flis 6776","Zbąszyń","16"
